date,symbol,closing_price_egp,volume,extracted_at
2026-04-02,ELNA.CA,36.98,4755,2026-04-05T15:49:11.097022
2026-04-02,OBRI.CA,35.6,388578,2026-04-05T15:49:11.163434
2026-04-02,EOSB.CA,1.17,30033,2026-04-05T15:49:11.215870
2026-04-02,ELSH.CA,7.0,456841,2026-04-05T15:49:11.290833
2026-04-02,ELEC.CA,2.06,6291217,2026-04-05T15:49:11.760096
2026-04-02,UEGC.CA,1.32,10151296,2026-04-05T15:49:11.829688
2026-04-02,EMFD.CA,9.21,333827,2026-04-05T15:49:11.882349
2026-04-02,EXPA.CA,16.25,768085,2026-04-05T15:49:11.959719
2026-04-02,ZEOT.CA,8.5,1974429,2026-04-05T15:49:12.066796
2026-04-02,FERC.CA,76.75,64952,2026-04-05T15:49:12.132864
2026-04-02,FAIT.CA,33.36,36503,2026-04-05T15:49:12.205939
2026-04-02,FAITA.CA,1.01,46462,2026-04-05T15:49:12.281014
2026-04-02,FWRY.CA,17.58,9745303,2026-04-05T15:49:12.334486
2026-04-02,GDWA.CA,0.75,9399966,2026-04-05T15:49:12.802930
2026-04-02,AALR.CA,163.14,10408,2026-04-05T15:49:12.899313
2026-04-02,GSSC.CA,226.41,8996,2026-04-05T15:49:12.984102
2026-04-02,GIHD.CA,36.53,28112,2026-04-05T15:49:13.067484
2026-04-02,GGCC.CA,0.36,7453310,2026-04-05T15:49:13.135539
2026-04-02,BIOC.CA,61.26,64535,2026-04-05T15:49:13.207458
2026-04-02,GPPL.CA,1.4,0,2026-04-05T15:49:13.262601
2026-04-02,GTWL.CA,44.15,271027,2026-04-05T15:49:13.337027
2026-04-02,GRCA.CA,55.78,190001,2026-04-05T15:49:13.389183
2026-04-02,CCRS.CA,1.48,3531481,2026-04-05T15:49:13.439746
2026-04-02,HELI.CA,5.66,19433215,2026-04-05T15:49:13.524537
2026-04-02,HDBK.CA,146.0,705922,2026-04-05T15:49:13.602076
2026-04-02,ISPH.CA,10.05,6980019,2026-04-05T15:49:13.664358
2026-04-02,IFAP.CA,19.12,119503,2026-04-05T15:49:14.158977
2026-04-02,ICID.CA,3.96,2690769,2026-04-05T15:49:14.220642
2026-04-02,ICFC.CA,14.71,613541,2026-04-05T15:49:14.271789
2026-04-02,ICLE.CA,15.76,0,2026-04-05T15:49:14.346347
2026-04-02,ISMQ.CA,6.97,6345562,2026-04-05T15:49:14.400336
2026-04-02,IDRE.CA,32.34,105510,2026-04-05T15:49:14.450732
2026-04-02,ISMA.CA,13.28,800550,2026-04-05T15:49:14.523310
2026-04-02,INFI.CA,86.04,35501,2026-04-05T15:49:14.577115
2026-04-02,JUFO.CA,25.32,370567,2026-04-05T15:49:14.671552
2026-04-02,KZPC.CA,9.84,66546,2026-04-05T15:49:14.754456
2026-04-02,LCSW.CA,24.4,844820,2026-04-05T15:49:14.820225
2026-04-02,LUTS.CA,0.53,7730561,2026-04-05T15:49:14.874056
2026-04-02,MTIE.CA,7.32,7415396,2026-04-05T15:49:15.369512
2026-04-02,MCRO.CA,1.33,14739592,2026-04-05T15:49:15.419739
2026-04-02,MASR.CA,5.66,29035622,2026-04-05T15:49:15.510228
2026-04-02,MPCO.CA,1.54,8519811,2026-04-05T15:49:15.580382
2026-04-02,MOIL.CA,0.41,84971,2026-04-05T15:49:15.637027
2026-04-02,MMAT.CA,3.37,1,2026-04-05T15:49:15.698422
2026-04-02,MEPA.CA,1.5,6312100,2026-04-05T15:49:15.765161
2026-04-02,MPCI.CA,156.52,350886,2026-04-05T15:49:15.842015
2026-04-02,MENA.CA,5.17,656389,2026-04-05T15:49:15.900770
2026-04-02,WCDF.CA,517.05,598,2026-04-05T15:49:15.993413
2026-04-02,MEGM.CA,12.54,0,2026-04-05T15:49:16.060410
2026-04-02,CEFM.CA,85.84,3913,2026-04-05T15:49:16.142785
2026-04-02,MIPH.CA,475.41,5207,2026-04-05T15:49:16.218651
2026-04-02,MBSC.CA,254.74,18659,2026-04-05T15:49:16.292337
2026-04-02,MCQE.CA,172.0,77917,2026-04-05T15:49:16.368059
2026-04-02,MICH.CA,36.3,262822,2026-04-05T15:49:16.444179
2026-04-02,MFSC.CA,31.0,3896,2026-04-05T15:49:16.526924
2026-04-02,MFPC.CA,40.6,1498777,2026-04-05T15:49:16.588992
2026-04-02,MHOT.CA,25.07,48064,2026-04-05T15:49:16.681227
2026-04-02,ATQA.CA,8.36,2529489,2026-04-05T15:49:16.731329
2026-04-02,MOSC.CA,146.65,1119,2026-04-05T15:49:16.807288
2026-04-02,MOIN.CA,22.48,24841,2026-04-05T15:49:16.889549
2026-04-02,NAHO.CA,0.1,283156,2026-04-05T15:49:16.950203
2026-04-02,NCCW.CA,4.8,1811348,2026-04-05T15:49:17.035241
2026-04-02,NHPS.CA,62.07,24346,2026-04-05T15:49:17.523396
2026-04-02,EGAS.CA,41.86,458062,2026-04-05T15:49:18.024015
2026-04-02,MILS.CA,97.07,16904,2026-04-05T15:49:18.105202
2026-04-02,NEDA.CA,2.37,84522,2026-04-05T15:49:18.157916
2026-04-02,ODIN.CA,1.87,12237010,2026-04-05T15:49:18.637460
2026-04-02,OLFI.CA,20.81,407522,2026-04-05T15:49:18.717251
2026-04-02,OCPH.CA,234.13,82200,2026-04-05T15:49:18.823947
2026-04-02,ORAS.CA,71.05,0,2026-04-05T15:49:18.880975
2026-04-02,ORHD.CA,24.7,1705183,2026-04-05T15:49:18.955274
2026-04-02,OIH.CA,1.39,204489346,2026-04-05T15:49:19.013543
2026-04-02,ORWE.CA,22.17,321608,2026-04-05T15:49:19.089721
2026-04-02,EBSC.CA,1.63,1261164,2026-04-05T15:49:19.142333
2026-04-02,PHDC.CA,8.46,33224812,2026-04-05T15:49:19.200928
2026-04-02,SIMO.CA,9.21,0,2026-04-05T15:49:19.251685
2026-04-02,PRDC.CA,4.15,816130,2026-04-05T15:49:19.303111
2026-04-02,PRMH.CA,1.99,3868443,2026-04-05T15:49:19.780208
2026-04-02,CCAP.CA,3.98,163556785,2026-04-05T15:49:20.301432
2026-04-02,RAKT.CA,23.57,14217,2026-04-05T15:49:20.802190
2026-04-02,RACC.CA,8.64,899231,2026-04-05T15:49:20.864967
2026-04-02,RAYA.CA,5.16,10970392,2026-04-05T15:49:20.937634
2026-04-02,RTVC.CA,3.56,283441,2026-04-05T15:49:20.989950
2026-04-02,ROTO.CA,29.49,77939,2026-04-05T15:49:21.124503
2026-04-02,RUBX.CA,8.8,110294,2026-04-05T15:49:21.177241
2026-04-02,SIPC.CA,3.17,2936820,2026-04-05T15:49:21.228828
2026-04-02,SMFR.CA,172.58,4301,2026-04-05T15:49:21.302682
2026-04-02,SEIG.CA,156.62,37427,2026-04-05T15:49:21.442040
2026-04-02,SNFC.CA,10.43,556144,2026-04-05T15:49:21.570456
